# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI);
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.;
# ;
# ;
# STN      LON(east)   LAT(north)     ALT(m)  NAME;
# 260:         5.180       52.100       1.90  DE BILT;
# ;
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# TN       = Minimum temperatuur (in 0.1 graden Celsius);
# ;
# STN,YYYYMMDD,   TN;
# ;
  260,20010917,   59;
  260,20010918,   81;
  260,20010919,  101;
  260,20010920,  110;
  260,20010921,   73;
  260,20010922,   71;
  260,20010923,  116;
  260,20010924,  111;
  260,20010925,   62;
  260,20010926,   83;
  260,20010927,  126;
  260,20010928,  109;
  260,20010929,   97;
  260,20010930,  144;
  260,20011001,  156;
  260,20011002,  141;
  260,20011003,  125;
  260,20011004,  109;
  260,20011005,  103;
  260,20011006,  116;
  260,20011007,  130;
  260,20011008,  124;
  260,20011009,  129;
  260,20011010,  117;
  260,20011011,  100;
  260,20011012,   83;
  260,20011013,  115;
  260,20011014,  128;
  260,20011015,  137;
  260,20011016,   75;
  260,20011017,   89;
  260,20011018,  126;
  260,20011019,  141;
  260,20011020,  125;
  260,20011021,  122;
  260,20011022,   79;
  260,20011023,   81;
  260,20011024,   96;
  260,20011025,   83;
  260,20011026,  107;
  260,20011027,   97;
  260,20011028,   61;
  260,20011029,   63;
  260,20011030,  126;
  260,20011031,   77;
  260,20011101,   35;
  260,20011102,   30;
  260,20011103,   60;
  260,20011104,   77;
  260,20011105,   31;
  260,20011106,   83;
  260,20011107,   69;
  260,20011108,   24;
  260,20011109,  -25;
  260,20011110,  -24;
  260,20011111,   25;
  260,20011112,   77;
  260,20011113,   19;
  260,20011114,  -15;
  260,20011115,  -43;
  260,20011116,   35;
  260,20011117,   51;
  260,20011118,   46;
  260,20011119,   25;
  260,20011120,   36;
  260,20011121,   74;
  260,20011122,   27;
  260,20011123,   16;
  260,20011124,   45;
  260,20011125,   80;
  260,20011126,   -7;
  260,20011127,  -10;
  260,20011128,   38;
  260,20011129,   52;
  260,20011130,  108;
  260,20011201,   62;
  260,20011202,   30;
  260,20011203,   71;
  260,20011204,   82;
  260,20011205,   41;
  260,20011206,   -8;
  260,20011207,  -26;
  260,20011208,  -10;
  260,20011209,  -20;
  260,20011210,  -31;
  260,20011211,   12;
  260,20011212,   27;
  260,20011213,  -31;
  260,20011214,  -64;
  260,20011215,  -59;
  260,20011216,  -54;
  260,20011217,  -57;
  260,20011218,  -39;
  260,20011219,   19;
  260,20011220,  -21;
  260,20011221,    2;
  260,20011222,  -30;
  260,20011223,  -68;
  260,20011224,   -6;
  260,20011225,   21;
  260,20011226,    3;
  260,20011227,    1;
  260,20011228,   27;
  260,20011229,  -17;
  260,20011230,  -36;
  260,20011231,  -58;
  260,20020101,  -14;
  260,20020102,  -41;
  260,20020103,  -53;
  260,20020104,  -60;
  260,20020105,  -55;
  260,20020106,  -28;
  260,20020107,   13;
  260,20020108,  -30;
  260,20020109,  -41;
  260,20020110,  -30;
  260,20020111,    3;
  260,20020112,   18;
  260,20020113,   -4;
  260,20020114,   14;
  260,20020115,   29;
  260,20020116,   18;
  260,20020117,   38;
  260,20020118,   17;
  260,20020119,   42;
  260,20020120,   38;
  260,20020121,   69;
  260,20020122,   49;
  260,20020123,   53;
  260,20020124,   44;
  260,20020125,   10;
  260,20020126,   88;
  260,20020127,   84;
  260,20020128,   92;
  260,20020129,   78;
  260,20020130,   75;
  260,20020131,   56;
  260,20020201,   73;
  260,20020202,   87;
  260,20020203,   63;
  260,20020204,   63;
  260,20020205,   80;
  260,20020206,   58;
  260,20020207,   29;
  260,20020208,   67;
  260,20020209,   73;
  260,20020210,   71;
  260,20020211,   94;
  260,20020212,   95;
  260,20020213,   36;
  260,20020214,   -6;
  260,20020215,  -28;
  260,20020216,  -24;
  260,20020217,  -54;
  260,20020218,   28;
  260,20020219,   42;
  260,20020220,   24;
  260,20020221,    9;
  260,20020222,   21;
  260,20020223,   10;
  260,20020224,    8;
  260,20020225,   30;
  260,20020226,   76;
  260,20020227,   45;
  260,20020228,   36;
  260,20020301,  -25;
  260,20020302,  -56;
  260,20020303,  -25;
  260,20020304,   64;
  260,20020305,   36;
  260,20020306,   52;
  260,20020307,   57;
  260,20020308,   11;
  260,20020309,   61;
  260,20020310,   26;
  260,20020311,   47;
  260,20020312,   37;
  260,20020313,    8;
  260,20020314,  -24;
  260,20020315,   19;
  260,20020316,   65;
  260,20020317,   64;
  260,20020318,   66;
  260,20020319,   75;
  260,20020320,   81;
  260,20020321,   73;
  260,20020322,   16;
  260,20020323,   14;
  260,20020324,   -9;
  260,20020325,  -10;
  260,20020326,    0;
  260,20020327,   -5;
  260,20020328,  -18;
  260,20020329,    1;
  260,20020330,   10;
  260,20020331,   43;
  260,20020401,   43;
  260,20020402,   73;
  260,20020403,  101;
  260,20020404,   74;
  260,20020405,   46;
  260,20020406,    0;
  260,20020407,  -11;
  260,20020408,    7;
  260,20020409,   -9;
  260,20020410,   17;
  260,20020411,   19;
  260,20020412,   -4;
  260,20020413,    9;
  260,20020414,    3;
  260,20020415,   62;
  260,20020416,   66;
  260,20020417,   32;
  260,20020418,   23;
  260,20020419,    0;
  260,20020420,    7;
  260,20020421,    4;
  260,20020422,   42;
  260,20020423,   91;
  260,20020424,   93;
  260,20020425,   52;
  260,20020426,   44;
  260,20020427,   70;
  260,20020428,   69;
  260,20020429,   58;
  260,20020430,   74;
  260,20020501,   55;
  260,20020502,   40;
  260,20020503,   51;
  260,20020504,   75;
  260,20020505,   62;
  260,20020506,   56;
  260,20020507,   87;
  260,20020508,   97;
  260,20020509,  118;
  260,20020510,  113;
  260,20020511,  104;
  260,20020512,   75;
  260,20020513,   59;
  260,20020514,  106;
  260,20020515,   87;
  260,20020516,   73;
  260,20020517,   75;
  260,20020518,  111;
  260,20020519,   96;
  260,20020520,   82;
  260,20020521,  142;
  260,20020522,  138;
  260,20020523,   91;
  260,20020524,   67;
  260,20020525,   92;
  260,20020526,   83;
  260,20020527,   72;
  260,20020528,   59;
  260,20020529,   96;
  260,20020530,   77;
  260,20020531,   50;
  260,20020601,   26;
  260,20020602,   81;
  260,20020603,  121;
  260,20020604,  114;
  260,20020605,  158;
  260,20020606,  128;
  260,20020607,  107;
  260,20020608,  100;
  260,20020609,  111;
  260,20020610,  101;
  260,20020611,   91;
  260,20020612,  106;
  260,20020613,  119;
  260,20020614,  139;
  260,20020615,  132;
  260,20020616,  113;
  260,20020617,  142;
  260,20020618,  124;
  260,20020619,  112;
  260,20020620,  102;
  260,20020621,   98;
  260,20020622,  116;
  260,20020623,  123;
  260,20020624,   89;
  260,20020625,   85;
  260,20020626,   75;
  260,20020627,  112;
  260,20020628,  105;
  260,20020629,   94;
  260,20020630,  112;
  260,20020701,  120;
  260,20020702,  121;
  260,20020703,  121;
  260,20020704,  123;
  260,20020705,  132;
  260,20020706,  116;
  260,20020707,  116;
  260,20020708,  110;
  260,20020709,  143;
  260,20020710,  109;
  260,20020711,  100;
  260,20020712,   85;
  260,20020713,  131;
  260,20020714,  157;
  260,20020715,  163;
  260,20020716,  144;
  260,20020717,  141;
  260,20020718,   97;
  260,20020719,   89;
  260,20020720,   69;
  260,20020721,  134;
  260,20020722,  128;
  260,20020723,  154;
  260,20020724,  120;
  260,20020725,   95;
  260,20020726,  140;
  260,20020727,  131;
  260,20020728,  157;
  260,20020729,  161;
  260,20020730,  160;
  260,20020731,  172;
  260,20020801,  113;
  260,20020802,  105;
  260,20020803,  130;
  260,20020804,  133;
  260,20020805,  133;
  260,20020806,  142;
  260,20020807,  140;
  260,20020808,  141;
  260,20020809,  133;
  260,20020810,  143;
  260,20020811,  151;
  260,20020812,  142;
  260,20020813,  123;
  260,20020814,  129;
  260,20020815,  133;
  260,20020816,  133;
  260,20020817,  135;
  260,20020818,  156;
  260,20020819,  177;
  260,20020820,  161;
  260,20020821,  162;
  260,20020822,  124;
  260,20020823,  119;
  260,20020824,  149;
  260,20020825,  130;
  260,20020826,  115;
  260,20020827,  171;
  260,20020828,  165;
  260,20020829,  126;
  260,20020830,  124;
  260,20020831,  119;
  260,20020901,   94;
  260,20020902,   91;
  260,20020903,   94;
  260,20020904,   77;
  260,20020905,   66;
  260,20020906,  122;
  260,20020907,  146;
  260,20020908,  122;
  260,20020909,  106;
  260,20020910,  108;
  260,20020911,  135;
  260,20020912,  110;
  260,20020913,   95;
  260,20020914,  142;
  260,20020915,   88;
  260,20020916,   68;
  260,20020917,   89;
  260,20020918,  122;
  260,20020919,  128;
  260,20020920,   92;
  260,20020921,  103;
  260,20020922,  106;
  260,20020923,   78;
  260,20020924,   50;
  260,20020925,   80;
  260,20020926,   93;
  260,20020927,   60;
  260,20020928,   51;
  260,20020929,   54;
  260,20020930,   53;
  260,20021001,   43;
  260,20021002,   77;
  260,20021003,   83;
  260,20021004,   53;
  260,20021005,   68;
  260,20021006,   21;
  260,20021007,   12;
  260,20021008,   19;
  260,20021009,   34;
  260,20021010,   53;
  260,20021011,   28;
  260,20021012,   39;
  260,20021013,   58;
  260,20021014,   66;
  260,20021015,   44;
  260,20021016,  101;
  260,20021017,   61;
  260,20021018,   44;
  260,20021019,   18;
  260,20021020,   32;
  260,20021021,   63;
  260,20021022,  106;
  260,20021023,   46;
  260,20021024,   48;
  260,20021025,   94;
  260,20021026,   66;
  260,20021027,   82;
  260,20021028,   60;
  260,20021029,   55;
  260,20021030,   49;
  260,20021031,   11;
  260,20021101,   18;
  260,20021102,  102;
  260,20021103,   86;
  260,20021104,   34;
  260,20021105,   31;
  260,20021106,   45;
  260,20021107,   27;
  260,20021108,   39;
  260,20021109,   -3;
  260,20021110,  -11;
  260,20021111,   62;
  260,20021112,   78;
  260,20021113,   65;
